c1,c2,c3,c4,c5,c6,c7,c8,c9,c10
,,,,,,,,,
" Kenia Natural Wypał 1",,,,,,,,,
22/11/2025,,,,,,,,,
Unspecified Bean,,,,,,,,,
,,,,,,,,,
Milestones,,,,,,,,,
1st Crack,Start,,,End,,,,,
,Index,Time,,Index,Time,,,,
,987,8:13,,-,-,,,,
,,,,,,,,,
2st Crack,Start,,,End,,,,,
,Index,Time,,Index,Time,,,,
,-,-,,-,-,,,,
,,,,,,,,,
Yellowing,Start index,Start time,,,,,,,
,499,4:09,,,,,,,
,,,,,,,,,
,,,,,,,,,
Timeline,Index,Time,IBTS Temp,Bean Probe Temp,IBTS ROR,Bean Probe ROR,Power Setting,Drum Setting,Fan Setting
,0,0:00,192.59,130.26,0,-1.36,6,7,5
,1,0:01,192.61,130.24,0,-1.13,6,7,5
,2,0:02,191.75,130.22,0,-0.86,6,7,5
,3,0:03,25,130.21,0.02,-1.38,6,7,5
,4,0:04,25.02,130.13,0.47,-6.23,6,7,5
,5,0:05,25.07,129.87,2.04,-19.19,6,7,5
,6,0:06,25.21,129.32,5.81,-37.62,6,7,5
,7,0:07,25.51,128.44,13.29,-58.58,6,7,5
,8,0:08,26.06,127.19,25.92,-79.99,6,7,5
,9,0:09,26.97,125.63,44.65,-97.43,6,7,5
,10,0:10,28.33,123.88,69.4,-106.97,6,7,5
,11,0:11,30.21,122.05,99.1,-111,6,7,5
,12,0:12,32.64,120.19,131.3,-111.58,6,7,5
,13,0:13,35.57,118.34,162.87,-110.54,6,7,5
,14,0:14,38.91,116.52,190.42,-108.7,6,7,5
,15,0:15,42.53,114.74,210.63,-105.67,6,7,5
,16,0:16,46.25,113.03,221.26,-102.14,6,7,5
,17,0:17,49.89,112.19,221.38,-100.26,6,7,5
,18,0:18,53.3,110.57,211.44,-96.26,6,7,5
,19,0:19,56.36,109.02,193.28,-91.54,6,7,5
,20,0:20,59.01,107.55,169.79,-87.35,6,7,5
,21,0:21,61.23,106.15,144.35,-83.25,6,7,5
,22,0:22,63.07,104.81,120.01,-79.15,6,7,5
,23,0:23,64.59,103.54,99.23,-75.12,6,7,5
,24,0:24,65.89,102.34,83.32,-71.23,6,7,5
,25,0:25,67.04,101.2,72.49,-67.14,6,7,5
,26,0:26,68.11,100.13,66.04,-63.42,6,7,5
,27,0:27,69.15,99.12,62.99,-60.1,6,7,5
,28,0:28,70.18,98.15,62.19,-57.24,6,7,5
,29,0:29,71.23,97.22,62.57,-55.31,6,7,5
,30,0:30,72.3,96.32,63.44,-53.61,6,7,5
,31,0:31,73.37,95.45,64.26,-51.35,6,7,5
,32,0:32,74.44,94.63,64.39,-48.71,6,7,5
,33,0:33,75.49,93.85,63.48,-46.11,6,7,5
,34,0:34,76.48,93.13,61.31,-42.54,6,7,5
,35,0:35,77.41,92.46,57.66,-38.99,6,7,5
,36,0:36,78.26,91.85,52.94,-36.09,6,7,5
,37,0:37,79,91.29,47.39,-33.18,6,7,5
,38,0:38,79.65,90.77,41.38,-30.48,6,7,5
,39,0:39,80.2,90.28,35.48,-28.71,6,7,5
,40,0:40,80.67,89.83,30.16,-26.7,6,7,5
,41,0:41,81.07,89.4,25.83,-24.97,6,7,5
,42,0:42,81.44,89.01,22.82,-23.33,6,7,5
,43,0:43,81.79,88.64,21.28,-21.89,6,7,5
,44,0:44,82.15,88.29,21.24,-20.38,6,7,5
,45,0:45,82.54,87.98,22.69,-18.69,6,7,5
,46,0:46,82.99,87.68,25.32,-17.22,6,7,5
,47,0:47,83.5,87.41,28.73,-15.56,6,7,5
,48,0:48,84.07,87.17,32.64,-14.21,6,7,5
,49,0:49,84.7,87.06,36.51,-13.5,6,7,5
,50,0:50,85.39,86.86,40.04,-11.94,6,7,5
,51,0:51,86.13,86.68,43.07,-10.32,6,7,5
,52,0:52,86.9,86.52,45.21,-9.27,6,7,5
,53,0:53,87.68,86.38,46.58,-8.26,6,7,5
,54,0:54,88.47,86.25,47.28,-7.32,6,7,5
,55,0:55,89.26,86.14,47.53,-6.48,6,7,5
,56,0:56,90.06,86.04,47.71,-5.84,6,7,5
,57,0:57,90.86,85.95,48,-5.21,6,7,5
,58,0:58,91.67,85.87,48.41,-4.44,6,7,5
,59,0:59,92.49,85.81,48.91,-3.61,6,7,5
,60,1:00,93.31,85.76,49.21,-2.82,6,7,5
,61,1:01,94.12,85.72,48.95,-1.9,6,7,5
,62,1:02,94.91,85.7,47.84,-0.82,6,7,5
,63,1:03,95.65,85.7,45.67,-0.03,6,7,5
,64,1:04,96.33,85.71,42.61,0.79,6,7,5
,65,1:05,96.95,85.74,39,1.94,6,7,5
,66,1:06,97.51,85.78,35.15,3.07,6,7,5
,67,1:07,98.02,85.84,31.63,3.86,6,7,5
,68,1:08,98.48,85.92,28.93,4.51,6,7,5
,69,1:09,98.93,86,27.23,5.19,6,7,5
,70,1:10,99.38,86.09,26.64,5.33,6,7,5
,71,1:11,99.83,86.18,27.07,5.35,6,7,5
,72,1:12,100.31,86.28,28.1,5.96,6,7,5
,73,1:13,100.81,86.38,29.45,6.3,6,7,5
,74,1:14,101.33,86.49,30.8,6.33,6,7,5
,75,1:15,101.87,86.59,31.79,6.49,6,7,5
,76,1:16,102.41,86.7,32.36,6.85,6,7,5
,77,1:17,102.95,86.82,32.47,6.9,6,7,5
,78,1:18,103.48,86.94,32.11,7.29,6,7,5
,79,1:19,104,87.06,31.54,7.65,6,7,5
,80,1:20,104.51,87.2,30.96,8.24,6,7,5
,81,1:21,105.02,87.35,30.44,8.99,6,7,5
,82,1:22,105.52,87.42,30.2,9.18,6,7,5
,83,1:23,106.03,87.58,30.25,9.53,6,7,5
,84,1:24,106.54,87.74,30.49,9.67,6,7,5
,85,1:25,107.05,87.91,30.79,9.86,6,7,5
,86,1:26,107.57,88.08,30.84,10.22,6,7,5
,87,1:27,108.07,88.25,30.51,10.28,6,7,5
,88,1:28,108.56,88.42,29.72,10.54,6,7,5
,89,1:29,109.03,88.6,28.62,11.01,6,7,5
,90,1:30,109.48,88.79,27.58,11.34,6,7,5
,91,1:31,109.93,88.98,26.9,11.35,6,7,5
,92,1:32,110.38,89.17,26.94,11.67,6,7,5
,93,1:33,110.85,89.37,27.88,11.84,6,7,5
,94,1:34,111.37,89.56,29.66,11.96,6,7,5
,95,1:35,111.92,89.77,31.99,12.31,6,7,5
,96,1:36,112.51,89.98,34.38,12.65,6,7,5
,97,1:37,113.12,90.19,36.29,12.79,6,7,5
,98,1:38,113.74,90.41,37.28,12.85,6,7,5
,99,1:39,114.36,90.63,37.18,12.92,6,7,5
,100,1:40,114.94,90.84,35.94,12.94,6,7,5
,101,1:41,115.49,91.05,33.78,12.8,6,7,5
,102,1:42,115.98,91.26,31.04,12.4,6,7,5
,103,1:43,116.43,91.47,28.12,12.48,6,7,5
,104,1:44,116.84,91.68,25.4,12.59,6,7,5
,105,1:45,117.21,91.89,23.17,12.68,6,7,5
,106,1:46,117.56,92.1,21.51,12.9,6,7,5
